model_name	species	taxid	rna_type
RNAseP_a_H_trapanicum_JB	Halorubrum trapanicum	29284	RNase_P_RNA
RNAseP_a_H_volcanii_JB	Haloferax volcanii	2246	RNase_P_RNA
RNAseP_a_Halobacterium-NRC1_JB	Halobacterium salinarum NRC-1	64091	RNase_P_RNA
RNAseP_a_M_jannaschii_JB	Methanocaldococcus jannaschii	2190	RNase_P_RNA
RNAseP_a_P_abyssi_JB	Pyrococcus abyssi	29292	RNase_P_RNA
RNAseP_a_P_furiosus_JB	Pyrococcus furiosus	2261	RNase_P_RNA
RNAseP_a_S_acidocaldarius_JB	Sulfolobus acidocaldarius	2285	RNase_P_RNA
RNAseP_a_S_solfataricus_JB	Saccharolobus solfataricus	2287	RNase_P_RNA
RNAseP_a_T_acidophilum_JB	Thermoplasma acidophilum	2303	RNase_P_RNA
RNAseP_b_A_tumefaciens_JB	Agrobacterium tumefaciens	358	RNase_P_RNA
RNAseP_b_E_coli_JB	Escherichia coli	562	RNase_P_RNA
RNAseP_b_G_stearothermophilus_3D	Geobacillus stearothermophilus	1422	RNase_P_RNA
RNAseP_b_H_pylory_26695_JB	Helicobacter pylori	85962	RNase_P_RNA
RNAseP_b_M_tuberculosis_JB	Mycobacterium tuberculosis	1773	RNase_P_RNA
RNAseP_b_N.meningitidis-Z2491_JB	Neisseria meningitidis	122587	RNase_P_RNA
RNAseP_b_R_prowazekii_JB	Rickettsia prowazekii	782	RNase_P_RNA
RNAseP_e_H_sapiens_3D	Homo sapiens	9606	RNase_P_RNA
RNAseP_e_S_pombe_JB	Schizosaccharomyces pombe	4896	RNase_P_RNA
RNAseP_N_gonnorhoeae_JB	Neisseria gonorrhoeae	485	RNase_P_RNA
RNaseP_TypeT_Caldivirga	Caldivirga	76886	RNase_P_RNA
RNaseP_TypeT_Pyrobaculum	Pyrobaculum	2276	RNase_P_RNA
RNaseP_TypeT_Vulcanisaeta	Vulcanisaeta	164450	RNase_P_RNA
HCV_IRES	Hepatitis C virus	11103	RNase_P_RNA
